,Pattern,2nd Guess
0,00000,clint
1,00001,denet
2,00002,guilt
3,00010,glint
4,00011,direr
5,00012,pudic
6,00020,fitch
7,00021,feted
8,00022,there
9,00100,clint
10,00101,canal
11,00102,gault
12,00110,riyal
13,00111,talar
14,00112,barca
15,00120,humic
16,00121,altar
17,00122,afire
18,00200,clink
19,00201,depth
20,00202,glitz
21,00210,clint
22,00211,ached
23,00212,diact
24,00220,dhuti
25,00221,lathy
26,00222,abaft
27,01000,clint
28,01001,lento
29,01002,pling
30,01010,cutin
31,01011,trued
32,01012,pownd
33,01020,acidy
34,01021,metro
35,01022,chore
36,01100,cloot
37,01101,cameo
38,01102,bundt
39,01110,maron
40,01111,-----
41,01112,-----
42,01120,acorn
43,01121,opera
44,01122,adore
45,01200,piano
46,01201,-----
47,01202,ovate
48,01210,bravo
49,01211,-----
50,01212,-----
51,01220,ovary
52,01221,-----
53,01222,-----
54,02000,culty
55,02001,meynt
56,02002,pugil
57,02010,cyton
58,02011,rewth
59,02012,faugh
60,02020,adult
61,02021,-----
62,02022,-----
63,02100,liman
64,02101,-----
65,02102,-----
66,02110,balmy
67,02111,-----
68,02112,-----
69,02120,cobra
70,02121,-----
71,02122,-----
72,02200,loamy
73,02201,-----
74,02202,-----
75,02210,roach
76,02211,-----
77,02212,-----
78,02220,board
79,02221,-----
80,02222,-----
81,10000,hists
82,10001,teugh
83,10002,cunit
84,10010,cruft
85,10011,richt
86,10012,centu
87,10020,usurp
88,10021,-----
89,10022,-----
90,10100,linty
91,10101,ajwan
92,10102,thump
93,10110,harsh
94,10111,-----
95,10112,arise
96,10120,-----
97,10121,-----
98,10122,-----
99,10200,chals
100,10201,bufty
101,10202,belch
102,10210,bachs
103,10211,-----
104,10212,erase
105,10220,-----
106,10221,-----
107,10222,-----
108,11000,agloo
109,11001,onset
110,11002,aitch
111,11010,acids
112,11011,verso
113,11012,prose
114,11020,-----
115,11021,-----
116,11022,-----
117,11100,ascot
118,11101,-----
119,11102,-----
120,11110,arson
121,11111,-----
122,11112,arose
123,11120,-----
124,11121,-----
125,11122,-----
126,11200,chaos
127,11201,-----
128,11202,-----
129,11210,-----
130,11211,-----
131,11212,-----
132,11220,-----
133,11221,-----
134,11222,-----
135,12000,fubsy
136,12001,nosey
137,12002,pilum
138,12010,roost
139,12011,loser
140,12012,horse
141,12020,-----
142,12021,-----
143,12022,-----
144,12100,-----
145,12101,-----
146,12102,-----
147,12110,-----
148,12111,-----
149,12112,-----
150,12120,-----
151,12121,-----
152,12122,-----
153,12200,abaca
154,12201,-----
155,12202,-----
156,12210,roast
157,12211,-----
158,12212,-----
159,12220,-----
160,12221,-----
161,12222,-----
162,20000,thilk
163,20001,clipt
164,20002,pling
165,20010,butch
166,20011,newie
167,20012,scree
168,20020,filth
169,20021,sperm
170,20022,shire
171,20100,dault
172,20101,knelt
173,20102,sauce
174,20110,cuppy
175,20111,enmew
176,20112,-----
177,20120,-----
178,20121,-----
179,20122,-----
180,20200,thilk
181,20201,-----
182,20202,thilk
183,20210,stair
184,20211,-----
185,20212,-----
186,20220,chapt
187,20221,-----
188,20222,chant
189,21000,cloot
190,21001,-----
191,21002,knelt
192,21010,scour
193,21011,-----
194,21012,-----
195,21020,chant
196,21021,-----
197,21022,cwtch
198,21100,salon
199,21101,-----
200,21102,-----
201,21110,savor
202,21111,-----
203,21112,-----
204,21120,-----
205,21121,-----
206,21122,-----
207,21200,-----
208,21201,-----
209,21202,-----
210,21210,-----
211,21211,-----
212,21212,-----
213,21220,-----
214,21221,-----
215,21222,-----
216,22000,atony
217,22001,-----
218,22002,solve
219,22010,-----
220,22011,sober
221,22012,-----
222,22020,sorry
223,22021,-----
224,22022,-----
225,22100,-----
226,22101,-----
227,22102,-----
228,22110,solar
229,22111,-----
230,22112,-----
231,22120,-----
232,22121,-----
233,22122,-----
234,22200,soapy
235,22201,-----
236,22202,-----
237,22210,-----
238,22211,-----
239,22212,-----
240,22220,-----
241,22221,-----
242,22222,-----
